text,label,urgency_class
로그인이 불가합니다!,계정,긴급
오늘 날씨가 궁금합니다.,기타,보통
급합니다. 로그인이 불가합니다.,계정,긴급
환불 금액이 잘못 들어왔습니다. 좀 봐주세요,환불,긴급
배송과 상관 없는 일반 질문입니다.,기타,보통
상품 품질이 기대에 미치지 못합니다.,상품,보통
안녕하세요. 배송과 상관 없는 일반 질문입니다.,기타,보통
"배송이 지연되고 있어요 상태 확인 부탁드립니다. 빨리 부탁드려요",배송,긴급
비밀번호 수정이 안 됩니다.,계정,보통
반갑습니다 아이디 찾기 기능을 사용하고 싶습니다.?,계정,보통
운송장 번호 조회가 되지 않습니다!,배송,긴급
"배송이 지연되고 있어요 상태 확인 부탁드립니다.!",배송,긴급
안녕하세요 환불 처리에 시간이 너무 걸립니다. 좀 봐주세요,환불,긴급
저기요 택배가 아직 도착하지 않았습니다.,배송,긴급
제품 추천을 받고 싶습니다.?,기타,보통
행사 관련 문의드립니다.ㅠㅠ,기타,긴급
"배송이 지연되고 있어요 상태 확인 부탁드립니다.",배송,긴급
오늘 날씨가 궁금합니다.?,기타,보통
결제 내역을 다시 확인하고 싶습니다.,결제,보통
다름이 아니라 상품 품질이 기대에 미치지 못합니다.ㅠ,상품,긴급
배송 현황을 다시 확인하고 싶습니다. 빨리 부탁드려요,배송,긴급
저기요 아이디 찾기 기능을 사용하고 싶습니다.,계정,보통
이중 결제가 발생한 것 같습니다.,결제,긴급
상품 품질이 기대에 미치지 못합니다.?,상품,보통
기타 일반 문의입니다.,기타,보통
"카드 결제가 실패했어요 확인 부탁드립니다. 좀 봐주세요",결제,긴급
환불 내역을 확인하고 싶습니다.,환불,보통
택배가 아직 도착하지 않았습니다.ㅠㅠ,배송,긴급
계정이 잠겨 있습니다.ㅠ,계정,긴급
결제 금액이 잘못 청구되었습니다.,결제,긴급
상품에 하자가 있어 교환하고 싶습니다.!,상품,긴급
안녕하세요 비밀번호 초기화가 필요합니다.ㅠ,계정,긴급
사진과 실제 상품이 다릅니다. 좀 봐주세요,상품,긴급
다름이 아니라 환불 처리에 시간이 너무 걸립니다. 좀 봐주세요,환불,긴급
로그인이 불가합니다.ㅜㅜ,계정,긴급
부분 환불 가능 여부를 알고 싶습니다.,환불,보통
계정이 잠겨 있습니다.,계정,긴급
상품이 배송 중 분실된 것 같아요.,배송,긴급
사진과 실제 상품이 다릅니다.,기타,보통
사용자 계정 수정이 안 됩니다.,계정,긴급
다름이 아니라 상품이 배송 중 분실된 것 같아요...,배송,긴급
환불 요청드립니다.,환불,보통
저기요 로그인이 불가합니다.ㅜㅜ,계정,긴급
다름이 아니라 행사 관련 문의드립니다.!,기타,보통
로그인이 불가합니다.ㅠㅠ,계정,긴급
계정이 잠겨 있습니다. 좀 봐주세요,계정,긴급
사용자 계정 수정이 안 됩니다.ㅠ,계정,긴급
저기요 오늘 날씨가 궁금합니다.?,기타,보통
상품이 설명과 달라서 문의드립니다.,상품,보통
"카드 결제가 실패했어요 확인 부탁드립니다.ㅠㅠ",결제,긴급
상품 품질이 기대에 미치지 못합니다.ㅜㅜ,상품,긴급
"안녕하세요 배송이 지연되고 있어요 상태 확인 부탁드립니다.",환불,긴급
비밀번호 초기화가 필요합니다.!,배송,긴급
결제가 정상적으로 처리되지 않습니다. 좀 봐주세요,결제,긴급
기타 일반 문의입니다.?,기타,보통
저기요 결제 내역을 다시 확인하고 싶습니다.,결제,보통
저기요 환불 요청드립니다.?,환불,보통
기타 일반 문의입니다.!,기타,보통
"안녕하세요 카드 결제가 실패했어요 확인 부탁드립니다.",결제,긴급
반갑습니다 이중 결제가 발생한 것 같습니다.,결제,긴급
다름이 아니라 로그인이 불가합니다.,계정,긴급
택배가 아직 도착하지 않았습니다.,배송,긴급
제품 추천을 받고 싶습니다.ㅠ,기타,긴급
혹시 환불 요청드립니다.,환불,보통
결제 금액이 잘못 청구되었습니다.!,결제,긴급
"혹시 카드 결제가 실패했어요 확인 부탁드립니다. 빨리 부탁드려요",결제,긴급
비밀번호 초기화가 필요합니다.!,계정,긴급
배송과 상관 없는 일반 질문입니다.ㅠㅠ,기타,긴급
환불 처리에 시간이 너무 걸립니다.,환불,보통
반갑습니다 이중 결제가 발생한 것 같습니다. 빨리 부탁드려요,결제,긴급
결제가 정상적으로 처리되지 않습니다.,배송,보통
결제 내역을 다시 확인하고 싶습니다. 좀 봐주세요,결제,긴급
다름이 아니라 제품 추천을 받고 싶습니다.!,기타,보통
환불 처리에 시간이 너무 걸립니다.?,환불,보통
저기요 상품 품질이 기대에 미치지 못합니다.,상품,보통
안녕하세요 배송과 상관 없는 일반 질문입니다.ㅜㅜ,배송,긴급
사용자 계정 수정이 안 됩니다!,계정,긴급
다름이 아니라 환불 처리에 시간이 너무 걸립니다.ㅠㅠ,환불,긴급
로그인이 불가합니다. 좀 봐주세요,계정,긴급
다름이 아니라 비밀번호 초기화가 필요합니다.,계정,긴급
아이디 찾기 기능을 사용하고 싶습니다.?,계정,보통
비밀번호 초기화가 필요합니다.,계정,긴급
"저기요 배송이 지연되고 있어요 상태 확인 부탁드립니다.!",배송,긴급
택배가 아직 도착하지 않았습니다!,배송,긴급
"카드 결제가 실패했어요 확인 부탁드립니다.!",결제,긴급
저기요 배송 현황을 다시 확인하고 싶습니다.?,배송,보통
저기요 기타 일반 문의입니다. 좀 봐주세요,기타,보통
색상과 사이즈가 주문과 맞지 않습니다.!,상품,보통
상품이 배송 중 분실된 것 같아요.?,배송,긴급
기타 일반 문의입니다. 빨리 부탁드려요,기타,긴급
다름이 아니라 상품 품질이 기대에 미치지 못합니다.,상품,긴급
상품에 하자가 있어 교환하고 싶습니다. 좀 봐주세요,상품,긴급
혹시 결제가 정상적으로 처리되지 않습니다.ㅠㅠ,결제,긴급
반갑습니다 환불 내역을 확인하고 싶습니다.,환불,보통
저기요 아이디 찾기 기능을 사용하고 싶습니다.,계정,긴급
상품 품질이 기대에 미치지 못합니다.,상품,긴급
오늘 날씨가 궁금합니다.,환불,보통
색상과 사이즈가 주문과 맞지 않습니다.,상품,보통
반갑습니다 행사 관련 문의드립니다.ㅠㅠ,기타,긴급
배송과 상관 없는 일반 질문입니다.?,기타,보통
반갑습니다 색상과 사이즈가 주문과 맞지 않습니다.,상품,긴급
기타 일반 문의입니다. 좀 봐주세요,기타,보통
결제 내역을 다시 확인하고 싶습니다. 빨리 부탁드려요,결제,긴급
다름이 아니라 결제 내역을 다시 확인하고 싶습니다.!,결제,보통
제품 추천을 받고 싶습니다.!,기타,보통
배송과 상관 없는 일반 질문입니다.ㅠ,기타,긴급
환불 요청드립니다.!,환불,보통
택배가 아직 도착하지 않았습니다. 빨리 부탁드려요,배송,긴급
환불 처리에 시간이 너무 걸립니다.ㅜㅜ,환불,긴급
사용자 계정 수정이 안 됩니다.!,계정,긴급
사진과 실제 상품이 다릅니다.ㅠ,상품,긴급
오늘 날씨가 궁금합니다.,기타,보통
저기요 환불 처리에 시간이 너무 걸립니다.,환불,긴급
상품이 설명과 달라서 문의드립니다.ㅠ,상품,긴급
결제가 정상적으로 처리되지 않습니다.ㅜㅜ,결제,긴급
배송 현황을 다시 확인하고 싶습니다.,배송,보통
상품이 설명과 달라서 문의드립니다. 좀 봐주세요,상품,긴급
택배가 아직 도착하지 않았습니다.,상품,긴급
다름이 아니라 상품 품질이 기대에 미치지 못합니다.!,상품,보통
사진과 실제 상품이 다릅니다.ㅜㅜ,상품,긴급
비밀번호 초기화가 필요합니다.,계정,긴급
상품 품질이 기대에 미치지 못합니다!,상품,긴급
반갑습니다 로그인이 불가합니다.,계정,긴급
혹시 환불 금액이 잘못 들어왔습니다.ㅠ,환불,긴급
안녕하세요 환불 내역을 확인하고 싶습니다.ㅜㅜ,환불,긴급
비밀번호 초기화가 필요합니다.ㅠㅠ,계정,긴급
결제 내역을 다시 확인하고 싶습니다.ㅠㅠ,계정,긴급
다름이 아니라 결제 금액이 잘못 청구되었습니다.?,결제,긴급
다름이 아니라 상품에 하자가 있어 교환하고 싶습니다. 좀 봐주세요,상품,긴급
"반갑습니다 배송이 지연되고 있어요 상태 확인 부탁드립니다.ㅜㅜ",배송,긴급
혹시 계정이 잠겨 있습니다.,계정,긴급
안녕하세요 부분 환불 가능 여부를 알고 싶습니다. 좀 봐주세요,환불,보통
환불 금액이 잘못 들어왔습니다.ㅜㅜ,환불,긴급
환불 내역을 확인하고 싶습니다.ㅠㅠ,환불,긴급
상품에 하자가 있어 교환하고 싶습니다.?,상품,긴급
운송장 번호 조회가 되지 않습니다.ㅠ,배송,긴급
다름이 아니라 운송장 번호 조회가 되지 않습니다.ㅜㅜ,배송,긴급
아이디 찾기 기능을 사용하고 싶습니다. 빨리 부탁드려요,계정,긴급
운송장 번호 조회가 되지 않습니다.ㅠㅠ,배송,긴급
결제가 정상적으로 처리되지 않습니다.,결제,긴급
환불 요청드립니다.,환불,보통
기타 일반 문의입니다!,기타,보통
환불 금액이 잘못 들어왔습니다.ㅜㅜ,환불,긴급
아이디 찾기 기능을 사용하고 싶습니다.!,계정,보통
다름이 아니라 결제가 정상적으로 처리되지 않습니다.,결제,긴급
계정이 잠겨 있습니다.?,계정,긴급
다름이 아니라 배송과 상관 없는 일반 질문입니다.,환불,보통
택배가 아직 도착하지 않았습니다.!,배송,긴급
다름이 아니라 기타 일반 문의입니다.ㅠㅠ,기타,긴급
결제가 정상적으로 처리되지 않습니다.!,결제,긴급
배송 현황을 다시 확인하고 싶습니다.,배송,긴급
혹시 상품에 하자가 있어 교환하고 싶습니다.,상품,긴급
제품 추천을 받고 싶습니다!,기타,보통
"카드 결제가 실패했어요 확인 부탁드립니다.?",결제,긴급
부분 환불 가능 여부를 알고 싶습니다.!,환불,보통
반갑습니다 결제 금액이 잘못 청구되었습니다.,결제,긴급
혹시 결제 금액이 잘못 청구되었습니다.ㅜㅜ,결제,긴급
